supplier_id,supplier_name,category_id,total_risk_score,event_count,high_severity_events,category_name,max_possible_score,priority_level,risk_reason
SUP018,VSMPO-AVISMA,CAT004,15,3,1,Titanium,27,Alert,"As a Russian state-linked entity supplying 50+ countries, VSMPO-AVISMA faces ongoing sanctions exposure and compliance risk for Western buyers following Russia's invasion of Ukraine."
SUP021,ASE Technology,CAT005,15,4,0,Chip Modules,27,Alert,"ASE's extensive manufacturing footprint includes multiple facilities in China (Shanghai, Wuxi, Suzhou, Kunshan, Huizhou), creating geopolitical and trade-restriction concentration risk for chip module supply."
SUP029,Samsung SDI,CAT006,15,4,0,Battery Materials,27,Alert,"CEO's explicit reference to 'second-half turnaround goals' signals current financial underperformance, which could affect investment in capacity and supply reliability for battery materials."
SUP027,LG Energy Solution,CAT006,15,3,0,Battery Materials,27,Alert,"Moody's has assigned a 'Negative' outlook on LGES's Baa1 rating, signaling potential downgrade risk that could affect the supplier's financial stability and investment capacity in battery materials."
SUP023,JCET,CAT005,12,4,0,Chip Modules,27,Alert,Record Q3 2025 revenue with near-full utilization across key packaging lines signals strong demand but potential capacity constraints for new or lower-priority customers.
SUP001,Largan Precision,CAT001,9,3,0,Camera Lens,27,Watch,"Consistent and growing cash dividends (NT$80/share in 2025, NT$97.50 in 2024) indicate strong profitability and financial health, reducing financial risk for the supply relationship."
SUP016,ATI,CAT004,9,3,0,Titanium,27,Watch,"ATI has expanded titanium production capacity (new Pageland, SC facility, 12,500-ton billet press) and secured long-term agreements with Boeing and Airbus, reducing supply disruption risk for titanium buyers."
SUP026,CATL,CAT006,9,3,0,Battery Materials,27,Watch,"CATL's 2025 annual report shows 39% YoY growth in battery shipments to 661GWh and 772GWh global production capacity, indicating strong and expanding supply capacity relevant to battery materials procurement."
SUP025,Tongfu Microelectronics,CAT005,9,2,0,Chip Modules,27,Watch,"Tongfu is pursuing a targeted new share issuance (向特定对象发行A股) filed with Shenzhen Stock Exchange in February 2026, indicating the company is raising capital, which may signal funding needs for expansion but also introduces dilution and financial structure changes."
SUP022,Amkor Technology,CAT005,6,2,0,Chip Modules,27,Watch,"Amkor's groundbreaking of a new US semiconductor packaging facility signals capacity expansion and improved domestic supply chain resilience, which is a positive development for Chip Modules sourcing."
SUP024,Powertech Technology,CAT005,6,2,0,Chip Modules,27,Watch,"PTI's broad service portfolio covering DRAM, NAND, NOR Flash, Logic, WLP, Flip Chip, and SiP confirms it is a critical turnkey OSAT supplier for chip modules, making any future disruption high-impact."
SUP020,OSAKA Titanium Technologies,CAT004,6,1,0,Titanium,27,Watch,"The supplier has announced a revision to investment amounts related to sponge titanium production capacity expansion, which directly affects titanium supply availability and pricing for buyers."
SUP017,Timet,CAT004,3,1,0,Titanium,27,Ignore,"TIMET's position as the only fully integrated US titanium supplier with global mills and service centers is strategically significant for supply chain resilience, but also represents a concentration risk if operations are disrupted."
